iter	Passed	Remaining
0	195	97669
1	231	57640
2	266	44158
3	304	37756
4	342	33943
5	380	31307
6	418	29487
7	464	28595
8	522	28523
9	557	27331
10	592	26350
11	628	25558
12	668	25028
13	707	24569
14	750	24279
15	796	24103
16	843	23978
17	893	23929
18	931	23573
19	966	23188
20	1000	22818
21	1034	22477
22	1070	22203
23	1105	21927
24	1140	21671
25	1174	21420
26	1209	21189
27	1244	20986
28	1341	21794
29	1381	21645
30	1416	21426
31	1452	21239
32	1486	21031
33	1520	20838
34	1554	20657
35	1594	20556
36	1720	21525
37	1813	22048
38	1864	22040
39	1899	21849
40	1935	21664
41	1969	21473
42	2003	21292
43	2039	21133
44	2073	20966
45	2112	20845
46	2146	20692
47	2181	20543
48	2217	20408
49	2257	20315
50	2349	20682
51	2385	20550
52	2420	20412
53	2455	20281
54	2489	20145
55	2524	20014
56	2579	20045
57	2681	20435
58	2761	20639
59	2815	20648
60	2872	20673
61	2923	20653
62	3023	20974
63	3252	22158
64	3294	22048
65	3392	22310
66	3492	22568
67	3552	22568
68	3600	22490
69	3650	22424
70	3698	22345
71	3748	22279
72	3806	22267
73	3863	22241
74	3916	22193
75	3968	22142
76	4011	22037
77	4052	21925
78	4096	21830
79	4131	21690
80	4166	21551
81	4201	21417
82	4235	21279
83	4270	21147
84	4349	21236
85	4399	21179
86	4434	21052
87	4468	20922
88	4503	20795
89	4537	20671
90	4572	20551
91	4623	20506
92	4709	20609
93	4767	20591
94	4812	20517
95	4856	20439
96	4899	20355
97	4944	20283
98	4989	20208
99	5033	20135
100	5077	20059
101	5116	19966
102	5157	19880
103	5198	19795
104	5241	19717
105	5283	19638
106	5381	19766
107	5447	19772
108	5488	19689
109	5523	19584
110	5559	19482
111	5594	19379
112	5642	19325
113	5737	19427
114	5790	19386
115	5835	19318
116	5877	19241
117	5921	19169
118	5963	19092
119	6008	19026
120	6045	18937
121	6080	18838
122	6117	18751
123	6152	18656
124	6187	18563
125	6222	18468
126	6255	18373
127	6291	18283
128	6326	18195
129	6361	18104
130	6395	18015
131	6423	17907
